origen,destino,tipo_dia,viajes
14057,41091,laborable,169.276
14019,29067,laborable,169.046
14037,29067,festivo,168.955
29094,41091,festivo,168.593
41090,29067,laborable,168.157
41026,29067,festivo,167.982
06044_AM,41091,festivo,167.465
41037,29067,festivo,167.01
18127,29067,festivo,166.37
41026,41091,festivo,165.903
14053,41091,festivo,165.623
21008_AM,41091,laborable,164.746
06014,41091,festivo,163.736
externo,29067,festivo,162.692
29007,41091,laborable,162.69
23024,29067,laborable,162.616
29025,41091,festivo,162.479
04013,41091,festivo,162.45
23009,29067,laborable,162.19
18905,29067,festivo,161.877
18101,29067,laborable,161.551
11015,29067,festivo,161.495
41039,29067,festivo,160.91
06019_AM,41091,festivo,160.749
14005_AM,41091,festivo,160.602
18023,29067,laborable,160.324
21041,29067,laborable,159.333
06020_AM,41091,laborable,159.275
13034,29067,laborable,159.196
41046_AM,29067,laborable,159.173
FRL04,29067,festivo,157.619
14007_AM,41091,laborable,156.452
23039,41091,laborable,156.218
29082_AM,41091,festivo,154.733
23024,41091,laborable,154.17700000000002
04066,29067,laborable,153.762
41037,41091,festivo,153.025
50297,41091,festivo,152.93
18148_AM,29067,laborable,151.346
06141_AM,41091,laborable,150.463
37274,41091,laborable,150.174
41095,29067,laborable,149.793
14002,41091,laborable,149.316
23005,41091,festivo,149.075
21078,41091,festivo,146.778
18184_AM,29067,laborable,146.535
21018_AM,41091,festivo,145.405
41050,29067,festivo,145.28
06088,41091,laborable,145.151
11007,29067,laborable,144.44
41062,41091,laborable,144.042
23055,29067,festivo,143.895
18089,29067,laborable,143.847
14055,41091,festivo,143.304
11008,41091,festivo,143.118
35016,29067,laborable,142.705
29068,41091,festivo,141.468
18094,29067,laborable,141.389
18022,29067,festivo,140.864
18115,29067,laborable,140.159
21025,41091,festivo,139.921
18911,29067,laborable,139.809
FRG01,29067,laborable,137.316
29070,41091,festivo,134.495
41060,29067,laborable,134.141
18193,29067,festivo,133.967
FR107,41091,festivo,133.905
06020_AM,41091,festivo,133.399
23092,41091,festivo,132.463
FRE22,29067,festivo,132.296
23092,29067,festivo,132.157
FRL04,29067,laborable,131.911
18150,29067,laborable,131.761
47186,41091,laborable,130.766
11027,29067,festivo,129.80100000000002
21070,41091,festivo,129.1
FR104,41091,festivo,129.001
23002,29067,festivo,128.918
23060,29067,festivo,128.751
23005,29067,festivo,128.124
11021,29067,laborable,127.36
46250,41091,festivo,127.18
14054,41091,festivo,127.042
03065,41091,laborable,126.43299999999999
13071,41091,laborable,126.12
FRE22,41091,laborable,126.037
30016,41091,laborable,125.572
41065_AM,29067,laborable,124.0
